02198910000001PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000001000001000001
02198910000002PP                                                PARTIDO POPULAR                                                                                                                                       000002000002000002
02198910000003CDS                                               CENTRO DEMOCRATICO Y SOCIAL                                                                                                                           000003000003000003
02198910000004IU                                                IZQUIERDA UNIDA                                                                                                                                       000004000004000004
02198910000005PTE-UC                                            PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA                                                                                                       000005000005000005
02198910000006FE-JONS                                           FALANGE ESPAÑOLA DE LAS J.O.N.S.                                                                                                                      000006000006000006
02198910000007PCPE                                              PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA                                                                                                            000007000007000007
02198910000008RUIZ-MATEOS                                       AGRUPACION RUIZ-MATEOS                                                                                                                                000008000008000008
02198910000009CSD                                               COALICION SOCIALDEMOCRATA                                                                                                                             000009000009000009
02198910000010AR                                                ALIANZA POR LA REPUBLICA                                                                                                                              000010000010000010
02198910000011PORE                                              PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA                                                                                                      000011000011000011
02198910000012PH                                                PARTIDO HUMANISTA                                                                                                                                     000012000012000012
02198910000013PST                                               PARTIDO SOCIALISTA DE LOS TRABAJADORES                                                                                                                000013000013000013
02198910000014LV-LV                                             LOS VERDES-LISTA VERDE                                                                                                                                000014000014000014
02198910000015LVE                                               LOS VERDES ECOLOGISTAS                                                                                                                                000015000015000015
02198910000016PCE-(M.L.)                                        PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)                                                                                                      000016000016000016
02198910000018PED                                               UNIDAD CENTRISTA-P.E.D.                                                                                                                               000018000018000018
02198910000019VERDE                                             VERTICE ESPAÑOL REIVINDICAC. DESARROLLO ECOLOGICO                                                                                                     000019000019000019
02198910000020ACI                                               AGRUPACION CIUDADANA INDEPENDIENTE                                                                                                                    000020000020000020
02198910000021ARDE                                              ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA                                                                                                               000021000021000021
02198910000022PCPA                                              PARTIDO COMUNISTA DEL PUEBLO ANDALUZ                                                                                                                  000022000022000007
02198910000023IU-CA                                             IZQUIERDA UNIDA-CONVOCATORIA POR ANDALUCIA                                                                                                            000023000023000004
02198910000024PSOE-A                                            PART. SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA                                                                                                          000024000024000001
02198910000025PA                                                PARTIDO ANDALUCISTA                                                                                                                                   000025000025000025
02198910000026CSD.                                              COALICIO SOCIALDEMOCRATA                                                                                                                              000026000026000009
02198910000028P.PR.                                             PARTIDO PROVERISTA                                                                                                                                    000028000028000028
02198910000029UA-CH.A                                           UNION ARAGONESISTA-CHUNTA ARAGONESISTA                                                                                                                000029000029000029
02198910000030PAR                                               PARTIDO ARAGONES REGIONALISTA                                                                                                                         000030000030000030
02198910000031PAS                                               PARTIU ASTURIANISTA                                                                                                                                   000031000031000031
02198910000032UNA                                               UNIDA NACIONALISTA ASTURIANA                                                                                                                          000032000032000032
02198910000033PSM-ENE                                           COALICION ELECTORAL ESQUERRA NACIONALISTA                                                                                                             000033000033000033
02198910000034UB                                                UNIO BALEAR                                                                                                                                           000034000034000034
02198910000035PRB                                               PARTIDO RADICAL BALEAR                                                                                                                                000035000035000035
02198910000036EV-LV                                             ELS VERDS-LLISTA VERDA                                                                                                                                000036000036000014
02198910000037I.U.                                              IZQUIERDA UNIDA-ESQUERRA UNIDA                                                                                                                        000037000037000004
02198910000038PCPC                                              PARTIDO COMUNISTA DEL PUEBLO CANARIO                                                                                                                  000038000038000007
02198910000039IU-ICU                                            IZQUIERDA UNIDA-IZQUIERDA CANARIA UNIDA                                                                                                               000039000039000004
