032023071019001000076001SJuan Miguel              Martín                   Ibáñez                   M00000000          N
032023071019001000076001TJulia María              Liberal                  Liberal                  F00000000          S
032023071019002000076002SMaría Luisa              Sánchez                  Perea                    F00000000          N
032023071019002000076002TAdolfo                   Lander                   Vera                     M00000000          S
032023071019003000076003SRoberto                  Atienza                  Mínguez                  M00000000          N
032023071019003000076003TPaula                    Somalo                   García                   F00000000          S
032023071019004000094001SMaialen                  Kortabarria              Zabala                   F00000000          N
032023071019004000094001TJosu                     Estarrona                Elizondo                 M00000000          S
032023071019005000094002SJavier                   Nuñez                    Zarate                   M00000000          N
032023071019005000094002TAitziber                 Salazar                  Arresti                  F00000000          N
032023071019006000075001SIzaskun                  Reyes                    Echazarreta              F00000000          N
032023071019006000075001TAlmudena                 Otaola                   Urquijo                  F00000000          N
032023071019007000094003SClaudia                  Venceslao                Pueyo                    F00000000          N
032023071019007000094003TPablo                    Vicente                  Saenz De Urturi          M00000000          N
032023071019008000005001SMiguel                   Garnica                  Azofra                   M00000000          N
032023071019008000005001TIñaki                    Oyarzabal                De Miguel                M00000000          N
032023071019009000005002SAlfredo                  Iturricha                Yániz                    M00000000          N
032023071019009000005002TIdoia                    Garmendia                Telleria                 F00000000          N
032023071019010000075002SIzaskun                  Pérez De Heredia         Arbigano                 F00000000          N
032023071019010000075002TRosa                     Peral                    Díez                     F00000000          N
032023071019011000005003SMontserrat               Canive                   Aldama                   F00000000          N
032023071019011000005003TJorge                    Ibarrondo                Bajo                     M00000000          N
032023071019012000075003SInma                     Laredo                   Fuertes                  F00000000          N
032023071019012000075003TJuan Carlos              Medina                   Martínez                 M00000000          N
032023071019013000010001SJosé Manuel              San Juan                 Martín                   M00000000          N
032023071019013000010001TLeticia                  Jiménez                  Loza                     F00000000          N
032023071019014000010002SJorge                    Lizarraga                Monje                    M00000000          N
032023071019014000010002TMiguel                   Burdallo                 Bautista                 M00000000          N
032023071019015000010003SImanol                   Martín                   Prieto                   M00000000          N
032023071019015000010003TEster                    Palacio                  García                   F00000000          N
032023071019016000006001SRosario                  Laporta                  Hidalgo                  F00000000          N
032023071019016000006001TIgnacio                  Cuadrado                 Rubio                    M00000000          N
032023071019017000006002SJosé María               Lázaro                   Gerardo                  M00000000          N
032023071019017000006002TMaría Jesús              Fernández                Rodríguez                F00000000          N
032023071019018000006003SMaría Amaia              Martínez                 Grisaleña                F00000000          N
032023071019018000006003TJuan Carlos              Ochoa                    Husillos                 M00000000          N
032023071019019000007001SAsier                    Bengoa                   Alonso                   M00000000          N
032023071019019000007001TSusana                   Robredo                  Oraá                     F00000000          N
032023071019020000014001SKirian                   Uralde                   Bejarano                 M00000000          N
032023071019020000014001TAna María                Gil                      Perdices                 F00000000          N
032023071019021000014002SEva María                Carrascal                Salgado                  F00000000          N
032023071019021000014002TMarkel                   Arambarri                Larrinaga                M00000000          N
032023071019022000014003SOscar                    Angulo                   Fernández                M00000000          N
032023071019022000014003TMaría Concepción         Alfajeme                 Dominguez                F00000000          N
032023071019023000009001SMaría Isabel             Mariño                   Fernández                F00000000          N
032023071019023000009001TJosu                     Errasti                  Foronda                  M00000000          N
032023071019024000098001SAntonia                  García                   Murillo                  F00000000          N
032023071019024000098001TLiher                    Calleja                  Montero                  M00000000          N
032023071019025000077001SMaría Begoña             De La Torre              Arribas                  F00000000          N
032023071019025000077001TRosa María               Gómez                    Saldaña                  F00000000          N
032023071029001000005001SJosefa                   Mansilla                 Ortuño                   F00000000          N
032023071029001000005001TSimón Valentín           Bueno                    Vargas                   M00000000          S
032023071029002000005002SJuan Ángel               Martínez                 González                 M00000000          N
032023071029002000005002TMiriam                   García                   Navarro                  F00000000          S
032023071029003000005003SMoisés                   López                    Martínez                 M00000000          N
032023071029003000005003TPilar Milagros           Rojo                     Noguera                  F00000000          S
032023071029004000002001SDiego                    Aroca                    Rodas                    M00000000          N
032023071029004000002001TAmparo                   Torres                   Valencoso                F00000000          S
032023071029005000002002SAlba                     Fito                     Domínguez                F00000000          N
032023071029005000002002TAlberto                  Iglesias                 Martínez                 M00000000          N
032023071029006000002003SMiguel                   Griñán                   García                   M00000000          N
032023071029006000002003TDonelia                  Roldán                   Martínez                 F00000000          N
032023071029007000006001SGuadalupe                Moreno                   Galisteo                 F00000000          N
032023071029007000006001TGinés Luis               Núñez                    Martínez                 M00000000          N
032023071029008000006002SJuan Pablo               Espín                    García                   M00000000          N
032023071029008000006002TMaría Ángeles            Gutiérrez                Montañana                F00000000          N
032023071029009000006003SMiriam Dolores           Medina                   Hidalgo De Torralba      F00000000          N
032023071029009000006003TJuan Antonio             Gil                      García                   M00000000          N
032023071029010000010001SRosa María               Rodríguez                Berlanga                 F00000000          N
032023071029010000010001TIago                     Vázquez                  Vázquez                  M00000000          N
032023071029011000010003SAlberto                  Sánchez                  Ortiz                    M00000000          N
032023071029011000010003TMaría Dolores            Serrano                  Egea                     F00000000          N
032023071029012000010002SMaría Pilar              Limón                    Fernández-Caballero      F00000000          N
032023071029012000010002TJesús Enrique            Plaza                    Senabre                  M00000000          N
032023071029013000007001SÁlvaro                   Ocaña                    Rodríguez                M00000000          N
032023071029013000007001TMaría Josefa             Vizcaíno                 Pina                     F00000000          N
032023071029014000003001SMaría Paulina            Rodríguez                Huertas                  F00000000          N
032023071029014000003001TJosé                     Serrano                  Paradinas                M00000000          N
032023071029015000009001SIsabel                   Marín                    Giménez                  F00000000          N
032023071029015000009001TFrancesc                 Cremades                 Gómez                    M00000000          N
032023071039001000005001SAlmudena                 Baldó                    Ballester                F00000000          N
032023071039001000005001TEva                      Ortiz                    Vilella                  F00000000          S
032023071039002000005002SSilvia                   Fernández                García                   F00000000          N
032023071039002000005002TAgustín                  Almodóbar                Barceló                  M00000000          S
032023071039003000005003SSebastián                Cañadas                  Gallardo                 M00000000          N
032023071039003000005003TMaría Dolores            Esteve                   Juan                     F00000000          S
